,analysis_variable_name,rownames_situations,discrim_lessrespectcross_country_OR_UK,discrim_lessrespectCI1_UK,discrim_lessrespectCI2_UK,discrim_lessrespectchi_value_cross_national,discrim_lessrespectpvalue_cross_national
L.R..Chisq.38,"weight discrimination,  BMI>25.0, <=29.9 ",discrim_poor_service,1.03,0.51,2.09,0.00,0.9651
,,,,,,,
L.R..Chisq.48,"weight discrimination,  BMI>25.0, <=29.9 ",discrim_harrased,0.91,0.54,1.52,0.02,0.8995
,,,,,,,
L.R..Chisq9,"weight discrimination,  BMI>25.0 ",discrim_lessrespect,1.72,1.52,1.94,13.27,0.0003
,,,,,,,
L.R..Chisq.19,"weight discrimination,  BMI>25.0 ",discrim_medical,0.57,0.51,0.65,13.99,0.0002
,,,,,,,
L.R..Chisq.29,"weight discrimination,  BMI>25.0 ",discrim_notclever,1.32,1.14,1.52,3.39,0.0656
,,,,,,,
L.R..Chisq.39,"weight discrimination,  BMI>25.0 ",discrim_poor_service,0.92,0.80,1.07,0.30,0.5830
,,,,,,,
L.R..Chisq.49,"weight discrimination,  BMI>25.0 ",discrim_harrased,0.62,0.55,0.71,9.96,0.0016
