"","analysis_variable_name","rownames_situations","discrim_lessrespectcross_country_OR_UK","discrim_lessrespectCI1_UK","discrim_lessrespectCI2_UK","discrim_lessrespectcross_country_OR_USA","discrim_lessrespectCI1_USA","discrim_lessrespectCI2_USA","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national"
"L.R..Chisq.33","financial discrimination, male","discrim_poor_service",0.979022354127364,0.738796336137076,1.29735993940182,1.37138848989106,0.705806873390897,2.66461897880116,0.00503466247013051,0.943433287058197
"L.R..Chisq.43","financial discrimination, male","discrim_harrased",0.657729430112668,0.516986257997123,0.836788205768407,2.62946862326771,1.49814305299337,4.61511684544051,1.91575711343404,0.166325149054458
"L.R..Chisq4","sex discrimination, female","discrim_lessrespect",1.86789357949557,1.77892212769965,1.96131487151285,1.15744166133568,0.975416544953298,1.37343497639736,95.1162657840638,0
"L.R..Chisq.14","sex discrimination, female","discrim_medical",0.575929097656025,0.546746745543292,0.606669044179285,2.06355023895781,1.72013952868263,2.47551987364883,74.050210407376,0
"L.R..Chisq.24","sex discrimination, female","discrim_notclever",1.37661565995326,1.30112179869209,1.45648983602729,1.20452224253289,0.988538617030296,1.46769565473839,24.8395705434819,6.23052303194704e-07
"L.R..Chisq.34","sex discrimination, female","discrim_poor_service",1.03568344259337,0.974055471675832,1.10121058240821,1.4186894597145,1.14308417498256,1.76074503274067,0.298340496838136,0.584924655326179
"L.R..Chisq.44","sex discrimination, female","discrim_harrased",0.623238754609087,0.589734602679114,0.658646352922333,1.64637321718439,1.35652063949736,1.99815962348081,54.4559766958564,1.58983937126322e-13
"L.R..Chisq5","sex discrimination, male","discrim_lessrespect",1.91392782482231,1.73437428538116,2.11206989719868,1.40054380244979,1.02292932439049,1.91755470862985,23.955217426362,9.86027163141223e-07
"L.R..Chisq.15","sex discrimination, male","discrim_medical",0.64495414346301,0.573654865767255,0.725115172890162,1.630972248928,1.1209809665819,2.37298451630661,10.7953144085793,0.00101757328706764
"L.R..Chisq.25","sex discrimination, male","discrim_notclever",1.32983794102743,1.17419975652726,1.50610570268418,1.61950938544325,1.08959526769092,2.40714210800222,4.59269318531155,0.0321085239338293
"L.R..Chisq.35","sex discrimination, male","discrim_poor_service",1.13034682217223,0.99241030619106,1.28745533014333,1.85389791675045,1.22510298688816,2.80542739877053,0.834458222797025,0.360986547203674
"L.R..Chisq.45","sex discrimination, male","discrim_harrased",0.784424922095711,0.692519361297598,0.888527444564021,2.92886474655065,1.96993319480939,4.35458863589395,3.32420837976463,0.0682668714660029
"L.R..Chisq6","race discrimination","discrim_lessrespect",1.56806513951259,1.33731483719801,1.83863082451583,1.24061368543465,1.13124535094456,1.36055570544677,5.81836172417066,0.0158597104179028
"L.R..Chisq.16","race discrimination","discrim_medical",0.64551777124204,0.546335275590539,0.762706000521171,1.79174209204838,1.62656624533891,1.97369134741204,5.50855827999784,0.0189236395175419
"L.R..Chisq.26","race discrimination","discrim_notclever",1.3894571450535,1.16783068580722,1.65314302955292,1.35784451779618,1.22716065038308,1.50244528614375,3.10144196079776,0.0782229804295529
"L.R..Chisq.36","race discrimination","discrim_poor_service",1.10227896139355,0.923981063648342,1.31498247803189,1.34944908718715,1.21940909809248,1.49335677563735,0.267340319123576,0.605121514565426
"L.R..Chisq.46","race discrimination","discrim_harrased",0.591162914628029,0.504208346811896,0.693113459626806,2.13088410203409,1.9412811261068,2.33900541000356,8.14805448352691,0.00431073835536266
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R..Chisq7","weight discrimination,  BMI>29.9","discrim_lessrespect",1.7443934530593,1.54329191233245,1.97169990638858,1.00774034988555,0.680325989205477,1.49272647069304,13.1781163436185,0.000283237316179408
"L.R..Chisq.17","weight discrimination,  BMI>29.9","discrim_medical",0.562911047595732,0.495931091344004,0.638937249621905,1.17861527528674,0.78604953431421,1.76723464170892,14.084413267429,0.000174786206798339
"L.R..Chisq.27","weight discrimination,  BMI>29.9","discrim_notclever",1.36118037574876,1.17888702760623,1.57166206085562,0.919393548772741,0.57955299075377,1.45851114740267,3.983576043536,0.0459459205775176
"L.R..Chisq.37","weight discrimination,  BMI>29.9","discrim_poor_service",0.921463091836198,0.793135992733775,1.07055314270845,0.872215589512548,0.541385394790991,1.40520974874548,0.281698946833998,0.595589822949695
"L.R..Chisq.47","weight discrimination,  BMI>29.9","discrim_harrased",0.618839401125261,0.542704647791757,0.705654919196537,1.81514855975966,1.19591935395686,2.75500541328006,9.524495279786,0.002027473403442
"L.R..Chisq8","weight discrimination,  BMI>25.0, <=29.9 ","discrim_lessrespect",1.94631280642349,0.856599290828929,4.42229357531023,1.61177713426356,0.253283357149546,10.2565978269193,0.720161768439942,0.396090851302274
"L.R..Chisq.18","weight discrimination,  BMI>25.0, <=29.9 ","discrim_medical",0.935136158045359,0.418622744511867,2.08894439097789,1.55576883222937,0.254035188231311,9.52787948861815,0.00730351405885665,0.931895217916916
"L.R..Chisq.28","weight discrimination,  BMI>25.0, <=29.9 ","discrim_notclever",1.5293315392809,0.787842662019478,2.96868279644072,1.21846482377048,0.273075854095705,5.43679166245764,0.293086629921855,0.588249301102894
"L.R..Chisq.38","weight discrimination,  BMI>25.0, <=29.9 ","discrim_poor_service",1.03492990987707,0.513110427989563,2.08742574684128,0.375800812786483,0.0772524682166163,1.82811312248279,0.00191428005407346,0.965101701256367
"L.R..Chisq.48","weight discrimination,  BMI>25.0, <=29.9 ","discrim_harrased",0.905679352383029,0.541253447965452,1.51547318990068,1.24362447112055,0.38955566119897,3.97016903928376,0.0159385218841526,0.899535728455385
"L.R..Chisq9","weight discrimination,  BMI>25.0 ","discrim_lessrespect",1.71619089840722,1.52063119964639,1.9369004137628,1.09653898057219,0.748735269123283,1.60590503145688,13.2668680134688,0.000270138143142251
"L.R..Chisq.19","weight discrimination,  BMI>25.0 ","discrim_medical",0.574596881737273,0.507202190032901,0.650946669770454,1.27446845630952,0.860937307460635,1.88662964428714,13.9856600031975,0.000184210229943083
"L.R..Chisq.29","weight discrimination,  BMI>25.0 ","discrim_notclever",1.31673133041768,1.1435599948758,1.5161263110571,0.987856548959852,0.633203504844071,1.54114838887883,3.39014613539146,0.0655871359423597
"L.R..Chisq.39","weight discrimination,  BMI>25.0 ","discrim_poor_service",0.921422909339195,0.796753092247138,1.06560010386726,0.88727727717423,0.563117194157793,1.39804107343438,0.301405529022276,0.58300261914032
"L.R..Chisq.49","weight discrimination,  BMI>25.0 ","discrim_harrased",0.622253601650684,0.547642210666484,0.707030132494764,1.87836610441432,1.26017013802262,2.79982767068975,9.96091224074083,0.00159898805363112
